profile,wijk,value,n_sample
1,WK003475,15.24,1236
2,WK003475,3.36,1236
3,WK003475,20.16,1236
4,WK003475,53.87,1236
5,WK003475,7.38,1236
1,WK008609,25.97,1079
2,WK008609,4.44,1079
3,WK008609,19.99,1079
4,WK008609,46.71,1079
5,WK008609,2.89,1079
1,WK008615,20.88,1235
2,WK008615,7.3,1235
3,WK008615,13.16,1235
4,WK008615,52.16,1235
5,WK008615,6.51,1235
1,WK010930,21.09,3545
2,WK010930,5.93,3545
3,WK010930,18.37,3545
4,WK010930,51.66,3545
5,WK010930,2.95,3545
1,WK017306,30.83,3092
2,WK017306,7.76,3092
3,WK017306,17.68,3092
4,WK017306,38.01,3092
5,WK017306,5.72,3092
1,WK017704,35.06,967
2,WK017704,4.88,967
3,WK017704,13.07,967
4,WK017704,43.07,967
5,WK017704,3.92,967
1,WK020358,30.87,1173
2,WK020358,2.51,1173
3,WK020358,14.62,1173
4,WK020358,46.51,1173
5,WK020358,5.49,1173
1,WK024314,18.35,827
2,WK024314,5.81,827
3,WK024314,26.22,827
4,WK024314,48.33,827
5,WK024314,1.29,827
1,WK030713,26.74,3590
2,WK030713,4.46,3590
3,WK030713,18.68,3590
4,WK030713,47.69,3590
5,WK030713,2.43,3590
1,WK030801,26.81,8019
2,WK030801,4.61,8019
3,WK030801,23.28,8019
4,WK030801,44.05,8019
5,WK030801,1.25,8019
1,WK034202,29.24,2681
2,WK034202,6.77,2681
3,WK034202,22.54,2681
4,WK034202,39.75,2681
5,WK034202,1.7,2681
1,WK035202,20.52,2629
2,WK035202,2.29,2629
3,WK035202,21.02,2629
4,WK035202,53.75,2629
5,WK035202,2.42,2629
1,WK0363KK,13.96,12220
2,WK0363KK,3.44,12220
3,WK0363KK,31.44,12220
4,WK0363KK,50.4,12220
5,WK0363KK,0.76,12220
1,WK039401,29.93,61294
2,WK039401,5.18,61294
3,WK039401,14.13,61294
4,WK039401,43.07,61294
5,WK039401,7.69,61294
1,WK039605,32.75,4088
2,WK039605,5.22,4088
3,WK039605,18.43,4088
4,WK039605,41.91,4088
5,WK039605,1.69,4088
1,WK055605,28.62,5435
2,WK055605,9.09,5435
3,WK055605,15.57,5435
4,WK055605,42.46,5435
5,WK055605,4.26,5435
1,WK063202,23.15,7225
2,WK063202,10.27,7225
3,WK063202,16.95,7225
4,WK063202,45.82,7225
5,WK063202,3.8,7225
1,WK068730,16.05,5550
2,WK068730,6.68,5550
3,WK068730,14.77,5550
4,WK068730,52.09,5550
5,WK068730,10.42,5550
1,WK070300,32.09,5338
2,WK070300,1.99,5338
3,WK070300,12.9,5338
4,WK070300,41.18,5338
5,WK070300,11.84,5338
1,WK078403,30.01,353
2,WK078403,9.48,353
3,WK078403,18.01,353
4,WK078403,41.04,353
5,WK078403,1.46,353
1,WK098343,26.08,851
2,WK098343,13.43,851
3,WK098343,18.16,851
4,WK098343,39.14,851
5,WK098343,3.19,851
1,WK098412,19.64,2110
2,WK098412,10.1,2110
3,WK098412,21.0,2110
4,WK098412,47.29,2110
5,WK098412,1.98,2110
1,WK169500,15.62,1675
2,WK169500,5.26,1675
3,WK169500,15.27,1675
4,WK169500,57.79,1675
5,WK169500,6.08,1675
1,WK190020,25.95,4355
2,WK190020,4.28,4355
3,WK190020,19.06,4355
4,WK190020,46.08,4355
5,WK190020,4.63,4355
1,WK196601,29.65,2620
2,WK196601,3.34,2620
3,WK196601,26.34,2620
4,WK196601,32.85,2620
5,WK196601,7.82,2620
